Description,,Summary Amt.
Beginning balance as of 01/01/2022,,"1,726.31"
Total credits,,"19,979.76"
Total debits,,"-20,298.71"
Ending balance as of 12/31/2022,,"1,407.36"

Date,Description,Amount,Running Bal.
01/31/2022,"GIG CAR SHARE 01/28 PURCHASE HTTPSWWW.GIGC CA","-17.99","2,631.80"
01/31/2022,"APPLE.COM/BILL 01/30 PURCHASE 866-712-7753 CA","-14.99","2,616.81"
02/01/2022,"eBay O*09-XXXXX-74865 02/01 PURCHASE San Jose CA","-502.03","2,114.78"
02/03/2022,"VENMO DES:CASHOUT ID:XXXXX67160762 INDN:KHANH NGUYEN CO ID:XXXXX81992 PPD","316.70","2,431.48"
02/03/2022,"AMZN MKTP US*LD88T1SR3 02/02 PURCHASE AMZN.COM/BILL WA","-92.17","2,339.31"
02/03/2022,"DISCOVER DES:E-PAYMENT ID:1502 INDN:NGUYEN KHANH CO ID:XXXXX20270 WEB","-161.09","2,178.22"
02/03/2022,"DISCOVER DES:E-PAYMENT ID:1502 INDN:NGUYEN KHANH CO ID:XXXXX20270 WEB","-96.72","2,081.50"
02/04/2022,"Zelle Transfer Conf# XXXXX8202; QUANG H VO","25.50","2,107.00"
02/08/2022,"WALGREENS STOR 02/07 PURCHASE BERKELEY CA","-23.81","2,083.19"
02/15/2022,"MEEPO BOARD 02/14 PURCHASE WAN CHAI","-79.00","2,004.19"
02/15/2022,"INTERNATIONAL TRANSACTION FEE 02/14 MEEPO BOARD WAN CHAI","-2.37","2,001.82"
02/16/2022,"Amazon Prime*BZ1UL0JK3 02/15 PURCHASE Amzn.com/bill WA","-14.00","1,987.82"
02/18/2022,"APPLE.COM/BILL 02/16 PURCHASE 866-712-7753 CA","-49.99","1,937.83"
02/22/2022,"AMAZON.COM*8M62O9FB3 AM 02/21 PURCHASE AMZN.COM/BILL WA","-27.55","1,910.28"
02/28/2022,"SNACK* BUNZ 02/25 PURCHASE WWW.SNACKPASS CA","-13.32","1,896.96"
02/28/2022,"DISCOVER DES:E-PAYMENT ID:1502 INDN:NGUYEN KHANH CO ID:XXXXX20270 WEB","-354.92","1,542.04"
03/02/2022,"VENMO DES:PAYMENT ID:XXXXX65613875 INDN:KHANH NGUYEN CO ID:XXXXX81992 WEB","-30.00","1,512.04"
03/10/2022,"SNACK* MURACCIS BE 03/09 PURCHASE WWW.SNACKPASS CA","-15.81","1,496.23"
03/17/2022,"Amazon Prime*1N6ZR5JB1 03/15 PURCHASE Amzn.com/bill WA","-14.00","1,482.23"
03/18/2022,"SNACK* BUNZ 03/16 PURCHASE WWW.SNACKPASS CA","-17.16","1,465.07"
03/21/2022,"Zelle Transfer Conf# 9999zlx8b; QUANG H VO","5.50","1,470.57"
03/21/2022,"GIG CAR SHARE 03/20 PURCHASE HTTPSWWW.GIGC CA","-11.29","1,459.28"
03/21/2022,"MCDONALD'S F25567 03/20 PURCHASE SAN DIEGO CA","-38.71","1,420.57"
03/21/2022,"AMC ONLINE 9640 03/20 PURCHASE XXXXX04262 KS","-52.74","1,367.83"
03/22/2022,"SPEEDWAY 4959 03/20 PURCHASE SAN DIEGO CA","-82.21","1,285.62"
03/22/2022,"AMC 0246 MISSION VALLE 03/20 PURCHASE SAN DIEGO CA","-31.57","1,254.05"
03/22/2022,"SHAKE SHACK - 1205 03/20 PURCHASE SAN DIEGO CA","-31.30","1,222.75"
03/22/2022,"AIBERTOS MEXICAN FOOD I 03/21 PURCHASE SAN DIEGO CA","-11.50","1,211.25"
03/23/2022,"JACK IN THE BOX 3069 03/21 PURCHASE SAN DIEGO CA","-8.17","1,203.08"
03/23/2022,"FENG CHA SD 03/22 PURCHASE SAN DIEGO CA","-5.39","1,197.69"
03/28/2022,"RAISING CANE'S #282 03/24 PURCHASE SANTEE CA","-11.08","1,186.61"
03/28/2022,"SQ *ORANGE CIRCLE ANTIQ 03/25 PURCHASE Orange CA","-31.25","1,155.36"
03/28/2022,"LUCKY GUYS BURGER 03/25 PURCHASE SANTA ANA CA","-26.85","1,128.51"
03/28/2022,"SPEEDWAY 4162 03/25 PURCHASE SANTA ANA CA","-43.05","1,085.46"
03/28/2022,"STARBUCKS STORE 59307 03/25 PURCHASE SANTA ANA CA","-6.92","1,078.54"
03/28/2022,"MCDONALD'S F23467 03/26 PURCHASE OAKLAND CA","-21.44","1,057.10"
03/28/2022,"GIG CAR SHARE 03/27 PURCHASE HTTPSWWW.GIGC CA","-14.23","1,042.87"
03/28/2022,"APPLE.COM/BILL 03/27 PURCHASE 866-712-7753 CA","-9.99","1,032.88"
03/28/2022,"SNACK* IBS 03/27 PURCHASE WWW.SNACKPASS CA","-11.13","1,021.75"
03/29/2022,"Zelle Transfer Conf# 999a90m16; QUANG H VO","26.95","1,048.70"
03/31/2022,"BKOFAMERICA MOBILE 04/01 XXXXX75217 DEPOSIT *MOBILE CA","1,000.00","2,048.70"
04/04/2022,"DISCOVER DES:E-PAYMENT ID:1502 INDN:NGUYEN KHANH CO ID:XXXXX20270 WEB","-59.99","1,988.71"
04/05/2022,"AMZN MKTP US*168DJ4IV2 04/04 PURCHASE AMZN.COM/BILL WA","-9.99","1,978.72"
04/11/2022,"WALGREENS STOR 04/10 PURCHASE BERKELEY CA","-23.60","1,955.12"
04/18/2022,"Amazon Prime*1O8EU2191 04/16 PURCHASE Amzn.com/bill WA","-16.15","1,938.97"
04/25/2022,"Zelle Transfer Conf# glph7lgf8; Quang Vo","-6.00","1,932.97"
04/26/2022,"Riot* AN2YLHRJ43NJ 04/24 PURCHASE 866-373-9211 CA","-19.99","1,912.98"
04/29/2022,"eBay O*08-XXXXX-41092 04/29 PURCHASE San Jose CA","-517.09","1,395.89"
05/02/2022,"eBay O*06-XXXXX-31578 05/01 PURCHASE XXX-XX66151 CA","-565.66","830.23"
05/02/2022,"Zelle Transfer Conf# mt6ryr4pc; Quang Vo","-6.60","823.63"
05/02/2022,"SNACK* IBS 05/01 PURCHASE WWW.SNACKPASS CA","-12.13","811.50"
05/03/2022,"VENMO DES:CASHOUT ID:XXXXX76713102 INDN:KHANH NGUYEN CO ID:XXXXX81992 PPD","208.81","1,020.31"
05/03/2022,"DISCOVER DES:E-PAYMENT ID:1502 INDN:NGUYEN KHANH CO ID:XXXXX20270 WEB","-183.02","837.29"
05/03/2022,"PAYPAL DES:INST XFER ID:DANIELAARROYO97 INDN:KHANH NGUYEN CO ID:PAYPALSI77 WEB","-0.01","837.28"
05/04/2022,"VENMO DES:CASHOUT ID:XXXXX95771667 INDN:KHANH NGUYEN CO ID:XXXXX81992 PPD","100.00","937.28"
05/04/2022,"2199 05/02 PURCHASE BERKELEY CA","-27.20","910.08"
05/04/2022,"eBay O*02-XXXXX-01408 05/03 PURCHASE XXX-XX66151 CA","-645.42","264.66"
05/05/2022,"TACO BELL 732759 05/04 PURCHASE BERKELEY CA","-12.55","252.11"
05/09/2022,"Zelle Transfer Conf# 999blwhei; QUANG H VO","12.78","264.89"
05/09/2022,"SNACK* IBS 05/06 PURCHASE WWW.SNACKPASS CA","-12.23","252.66"
05/09/2022,"Subway 4904 05/08 PURCHASE Berkeley CA","-13.81","238.85"
05/11/2022,"eBay O*02-XXXXX-01408 05/10 REFUND XXX-XX66151 CA","645.42","884.27"
05/11/2022,"eBay O*08-XXXXX-41092 05/10 REFUND San Jose CA","517.09","1,401.36"
05/11/2022,"SNACK* MURACCIS BE 05/10 PURCHASE WWW.SNACKPASS CA","-15.81","1,385.55"
05/13/2022,"AMZN MKTP US*134VV9UI0 05/12 PURCHASE AMZN.COM/BILL WA","-56.22","1,329.33"
05/16/2022,"eBay O*06-XXXXX-31578 05/13 REFUND XXX-XX66151 CA","565.66","1,894.99"
05/16/2022,"Zelle Transfer Conf# 999bun1yt; QUANG H VO","9.00","1,903.99"
05/16/2022,"TACO BELL 732759 05/12 PURCHASE BERKELEY CA","-11.66","1,892.33"
05/16/2022,"TACO BELL 732759 05/13 PURCHASE BERKELEY CA","-15.52","1,876.81"
05/16/2022,"GIG CAR SHARE 05/14 PURCHASE HTTPSWWW.GIGC CA","-2.37","1,874.44"
05/16/2022,"SNACK* IBS 05/14 PURCHASE WWW.SNACKPASS CA","-12.13","1,862.31"
05/16/2022,"GIG CAR SHARE 05/14 PURCHASE HTTPSWWW.GIGC CA","-32.37","1,829.94"
05/16/2022,"GIG CAR SHARE 05/15 PURCHASE HTTPSWWW.GIGC CA","-15.40","1,814.54"
05/16/2022,"GIG CAR SHARE 05/15 PURCHASE HTTPSWWW.GIGC CA","-39.74","1,774.80"
05/16/2022,"CHEVRON/CSI-09 05/15 PURCHASE COALINGA CA","-1.79","1,773.01"
05/17/2022,"APPLE.COM/BILL 05/15 PURCHASE 866-712-7753 CA","-4.99","1,768.02"
05/17/2022,"Amazon Prime*1R4U78GH1 05/16 PURCHASE Amzn.com/bill WA","-16.15","1,751.87"
05/17/2022,"AMZN MKTP US*1L2EX5G52 05/16 PURCHASE AMZN.COM/BILL WA","-398.65","1,353.22"
05/17/2022,"AMZN Mktp US*1L0L26EW0 05/16 PURCHASE Amzn.com/bill WA","-172.39","1,180.83"
05/17/2022,"MCDONALD'S F25567 05/16 PURCHASE SAN DIEGO CA","-17.21","1,163.62"
05/17/2022,"Zelle Transfer Conf# kuqxmklkv; Tan Nguyen","-18.00","1,145.62"
05/18/2022,"MICRO CENTER ONLINE 05/15 PURCHASE 703-204-8400 OH","-92.51","1,053.11"
05/18/2022,"AMZN MKTP US*1L0YE8PX0 05/16 PURCHASE AMZN.COM/BILL WA","-86.19","966.92"
05/18/2022,"NEWEGG INC. 05/17 PURCHASE 800-390-1119 CA","-537.66","429.26"
05/19/2022,"Zelle Transfer Conf# l410gxzyr; NGUYEN, MY","500.00","929.26"
05/19/2022,"B&H PHOTO 800-606-6969 05/18 PURCHASE XXX-XX15743 NY","-167.69","761.57"
05/19/2022,"DISCOVER DES:E-PAYMENT ID:1502 INDN:NGUYEN KHANH CO ID:XXXXX20270 WEB","-230.24","531.33"
05/20/2022,"IN N OUT BURGER 128 05/18 PURCHASE SAN DIEGO CA","-17.35","513.98"
05/23/2022,"PANDA EXPRESS 758 05/20 PURCHASE SAN DIEGO CA","-18.64","495.34"
05/23/2022,"Zelle Transfer Conf# gzyv630qo; Tan Nguyen","-30.00","465.34"
05/23/2022,"SPWY66311101 05/22 PURCHASE SAN DIEGO CA","-71.97","393.37"
05/23/2022,"PETSMART # 244 05/22 PURCHASE SAN DIEGO CA","-39.62","353.75"
05/24/2022,"BEST BUY #438 05/24 PURCHASE SAN DIEGO CA","-70.01","283.74"
05/25/2022,"AMZN MKTP US*GL3RX5N63 05/20 PURCHASE AMZN.COM/BILL WA","-84.17","199.57"
05/25/2022,"MCDONALD'S F25567 05/24 PURCHASE SAN DIEGO CA","-12.06","187.51"
05/26/2022,"AMZN MKTP US*QB76O6DZ3 05/25 PURCHASE AMZN.COM/BILL WA","-9.69","177.82"
05/26/2022,"bzfuture 05/26 PURCHASE Hong Kong","-15.13","162.69"
05/26/2022,"MICHAELS STORE 05/26 PURCHASE SANTA ANA CA","-43.62","119.07"
05/26/2022,"INTERNATIONAL TRANSACTION FEE 05/26 bzfuture Hong Kong","-0.45","118.62"
05/27/2022,"Zelle Transfer Conf# mbge0lost; NGUYEN, MY","200.00","318.62"
05/27/2022,"SUNNY DAY PEOPLE 05/25 PURCHASE SAN DIEGO CA","-45.00","273.62"
05/27/2022,"SUNNY DAY PEOPLE 05/25 PURCHASE SAN DIEGO CA","-8.00","265.62"
05/27/2022,"AMZN MKTP US*1X8C81I01 05/26 PURCHASE AMZN.COM/BILL WA","-7.53","258.09"
05/27/2022,"ARCO42513001 05/26 PURCHASE SANTA ANA CA","-41.85","216.24"
05/31/2022,"Zelle Transfer Conf# T0QGX5KJD; DANIELA ARROYO","150.00","366.24"
05/31/2022,"WUSHILAND BOBA 05/27 PURCHASE SAN DIEGO CA","-11.08","355.16"
05/31/2022,"SQ *ICESKIMO 05/27 PURCHASE SAN DIEGO CA","-22.37","332.79"
05/31/2022,"AMZN MKTP US*1R36X3YH2 05/28 PURCHASE AMZN.COM/BILL WA","-19.38","313.41"
05/31/2022,"JERSEY MIKES 20062 05/28 PURCHASE SAN DIEGO CA","-55.03","258.38"
05/31/2022,"RAISING CANE'S #282 05/29 PURCHASE SANTEE CA","-47.23","211.15"
05/31/2022,"SOAPY JOE'S CAR WASH - 05/30 PURCHASE SAN DIEGO CA","-10.00","201.15"
05/31/2022,"Zelle Transfer Conf# gosk7cj7w; Baby","-101.51","99.64"
06/01/2022,"Zelle Transfer Conf# jh95pjoff; NGUYEN, MY","500.00","599.64"
06/01/2022,"IN N OUT BURGER 375 05/30 PURCHASE SAN DIEGO CA","-49.03","550.61"
06/01/2022,"UCSD PARKING MOBILE EBI 05/31 PURCHASE www.parkmobil GA","-0.40","550.21"
06/01/2022,"MICRO ELECTRON 06/01 PURCHASE Tustin CA","-21.54","528.67"
06/02/2022,"UC SAN DIEGO BOOKSTORE 05/31 PURCHASE LA JOLLA CA","-48.49","480.18"
06/02/2022,"SQ *TIERRA MIA COFFEE C 06/01 PURCHASE Santa Ana CA","-8.25","471.93"
06/03/2022,"RAISING CANE'S 390 06/02 PURCHASE SANTA ANA CA","-23.34","448.59"
06/06/2022,"Zelle Transfer Conf# 999clwzkr; QUANG H VO","28.00","476.59"
06/06/2022,"IHOP #955 06/02 PURCHASE SANTA ANA CA","-57.82","418.77"
06/06/2022,"YOGURTLAND CA210 06/03 PURCHASE SANTA ANA CA","-20.35","398.42"
06/06/2022,"SPWY66311101 06/04 PURCHASE SAN DIEGO CA","-30.00","368.42"
06/06/2022,"IN N OUT BURGER 128 06/04 PURCHASE SAN DIEGO CA","-32.11","336.31"
06/06/2022,"AMC 0444 FASHION VALLE 06/04 PURCHASE SAN DIEGO CA","-48.36","287.95"
06/06/2022,"AMC 0444 FASHION VALLE 06/04 PURCHASE SAN DIEGO CA","-15.06","272.89"
06/07/2022,"Zelle Transfer Conf# 0H3HD09DM; Jason Nguyen","8.09","280.98"
06/07/2022,"MCDONALD'S F25567 06/06 PURCHASE SAN DIEGO CA","-18.07","262.91"
06/10/2022,"JACK IN THE BOX 3069 06/08 PURCHASE SAN DIEGO CA","-32.48","230.43"
06/10/2022,"ANAKINS FRUIT & DELI 06/09 PURCHASE SAN DIEGO CA","-6.00","224.43"
06/13/2022,"AMZN MKTP US*KX8N278P3 06/10 PURCHASE AMZN.COM/BILL WA","-11.84","212.59"
06/13/2022,"SPWY66311101 06/10 PURCHASE SAN DIEGO CA","-20.00","192.59"
06/13/2022,"ARCO42104001 06/11 PURCHASE SAN DIEGO CA","-21.38","171.21"
06/14/2022,"JOLLIBEE NATIONAL CITY 06/12 PURCHASE NATIONAL CITY CA","-24.45","146.76"
06/14/2022,"Zelle Transfer Conf# jlmn2z7mv; Quang Vo","-5.81","140.95"
06/15/2022,"CVS/PHARMACY # 06/14 PURCHASE San Diego CA","-12.00","128.95"
06/15/2022,"Zelle Transfer Conf# l3wz3fnjc; Jason Nguyen","-23.75","105.20"
06/16/2022,"UC Berkeley DES:DIRECT PAY ID:XXXXX32484 INDN:0000Nguyen,Khanh CO ID:XXXXX02123 PPD","1,624.00","1,729.20"
06/16/2022,"APPLE.COM/BILL 06/15 PURCHASE 408-974-1010 CA","-4.99","1,724.21"
06/17/2022,"THAI TIME - NORTH PARK 06/15 PURCHASE SAN DIEGO CA","-35.09","1,689.12"
06/17/2022,"Amazon Prime*2E2AT76A3 06/16 PURCHASE Amzn.com/bill WA","-16.15","1,672.97"
06/21/2022,"ACE PARKING 1546 06/16 PURCHASE SAN DIEGO CA","-1.00","1,671.97"
06/27/2022,"Tacos El Gordo - Chula 06/25 PURCHASE Chula Vista CA","-32.68","1,639.29"
07/05/2022,"Zelle Transfer Conf# h8gk20ilb; TRAN, STEVEN","3.75","1,643.04"
07/05/2022,"Zelle Transfer Conf# 999djqfvy; QUANG H VO","3.75","1,646.79"
07/05/2022,"EL SUPER #51 07/03 PURCHASE SAN DIEGO CA","-12.00","1,634.79"
07/05/2022,"Zelle Transfer Conf# gutoylvoa; Vincent","-1,089.66","545.13"
07/05/2022,"DISCOVER DES:E-PAYMENT ID:1502 INDN:NGUYEN KHANH CO ID:XXXXX20270 WEB","-9.45","535.68"
07/08/2022,"CVS/PHARMACY # 07/08 PURCHASE Los Angeles CA","-4.26","531.42"
07/11/2022,"CVS/PHARMACY # 07/09 PURCHASE Las Angeles CA","-10.72","520.70"
07/11/2022,"Zelle Transfer Conf# lhkpppjfg; KAITLYN","-10.69","510.01"
07/11/2022,"Zelle Transfer Conf# lpp6rru19; VANESSA","-16.33","493.68"
07/12/2022,"Zelle Transfer Conf# hoz4hcqrf; ANTHONY","-4.00","489.68"
07/12/2022,"CVS/PHARM 0912 07/11 PURCHASE San Diego CA","-20.46","469.22"
07/13/2022,"AMC 0444 FASHION VALLE 07/11 PURCHASE SAN DIEGO CA","-7.53","461.69"
07/13/2022,"AMZN MKTP US*U845237N3 07/12 PURCHASE AMZN.COM/BILL WA","-42.23","419.46"
07/14/2022,"AMZN MKTP US*6G1Z68Q83 07/12 PURCHASE AMZN.COM/BILL WA","-20.99","398.47"
07/14/2022,"AMZN Mktp US*5J2B90KF3 07/12 PURCHASE Amzn.com/bill WA","-34.48","363.99"
07/18/2022,"APPLE.COM/BILL 07/15 PURCHASE 866-712-7753 CA","-4.99","359.00"
07/18/2022,"JACK IN THE BOX 3069 07/16 PURCHASE SAN DIEGO CA","-8.62","350.38"
07/18/2022,"MINH KY RESTAURANT, IN 07/16 PURCHASE 619-283-4180 CA","-23.00","327.38"
07/18/2022,"BONCHON - CONVOY 07/16 PURCHASE SAN DIEGO CA","-58.58","268.80"
07/18/2022,"DISCOVER DES:E-PAYMENT ID:1502 INDN:NGUYEN KHANH CO ID:XXXXX20270 WEB","-82.72","186.08"
07/19/2022,"TOWN SQUARE CINEMA 07/18 PURCHASE SAN DIEGO CA","-14.75","171.33"
07/19/2022,"Zelle Transfer Conf# lqipcpbjp; Tan Nguyen","-11.00","160.33"
07/22/2022,"7-ELEVEN 07/21 PURCHASE San Diego CA","-30.34","129.99"
07/28/2022,"VENMO DES:CASHOUT ID:XXXXX43745709 INDN:KHANH NGUYEN CO ID:XXXXX81992 PPD","592.98","722.97"
07/29/2022,"Zelle Transfer Conf# 0H4XUQ1JC; Jason Nguyen","25.00","747.97"
08/01/2022,"COLIMA'S MEXICAN FOOD 07/28 PURCHASE SAN DIEGO CA","-21.53","726.44"
08/01/2022,"Riot* AN2Z6PXXFJEH 07/30 PURCHASE 866-373-9211 CA","-19.99","706.45"
08/03/2022,"Zelle Transfer Conf# i5h2fc61e; Vincent","-19.50","686.95"
08/04/2022,"Zelle Transfer Conf# m7jfr13rw; NGUYEN, MY","1,200.00","1,886.95"
08/04/2022,"DAVE'S FLOWER 08/04 PURCHASE SAN DIEGO CA","-32.28","1,854.67"
08/04/2022,"BARNESNOBLE 79 08/04 PURCHASE range CA","-16.15","1,838.52"
08/05/2022,"I CAN BARBECUE 08/04 PURCHASE SANTA ANA CA","-85.31","1,753.21"
08/08/2022,"STARBUCKS STORE 54448 08/04 PURCHASE SANTA ANA CA","-4.95","1,748.26"
08/08/2022,"AMC 0437 ORANGE 30 08/04 PURCHASE ORANGE CA","-27.58","1,720.68"
08/08/2022,"AMC 0437 ORANGE 30 08/04 PURCHASE ORANGE CA","-16.32","1,704.36"
08/08/2022,"CVS/PHARM 0912 08/05 PURCHASE San Diego CA","-37.99","1,666.37"
08/08/2022,"AMZN MKTP US*SW6PV3KH3 08/06 PURCHASE AMZN.COM/BILL WA","-19.38","1,646.99"
08/12/2022,"APPLE.COM/US 08/11 PURCHASE 800-676-2775 CA","-1,026.55","620.44"
08/12/2022,"APPLE.COM/US 08/11 PURCHASE 800-676-2775 CA","-150.00","470.44"
08/12/2022,"SILVERLAKE RAM 08/12 PURCHASE IRVINE CA","-57.83","412.61"
08/15/2022,"Zelle Transfer Conf# gluycgrdb; TRAN, STEVEN","14.50","427.11"
08/15/2022,"WINGSTOP 1566 08/13 PURCHASE SANTA ANA CA","-42.14","384.97"
08/15/2022,"AMAZON.COM*0G8NT44O3 AM 08/14 PURCHASE AMZN.COM/BILL WA","-27.60","357.37"
08/16/2022,"Zelle Transfer Conf# 999f5saez; QUANG H VO","391.28","748.65"
08/16/2022,"TARGET T- 2187 08/16 PURCHASE Berkeley CA","-85.90","662.75"
08/16/2022,"TARGET T- 2187 08/16 PURCHASE Berkeley CA","-44.10","618.65"
08/17/2022,"Zelle Transfer Conf# hbcnxmpxt; NGUYEN, MY","1,000.00","1,618.65"
08/17/2022,"GIG CAR SHARE 08/16 PURCHASE HTTPSWWW.GIGC CA","-32.37","1,586.28"
08/17/2022,"TRADER JOE'S # 08/17 PURCHASE BERKELEY CA","-68.08","1,518.20"
08/18/2022,"UC Berkeley DES:DIRECT PAY ID:XXXXX32484 INDN:0000Nguyen,Khanh CO ID:XXXXX02123 PPD","5,176.00","6,694.20"
08/18/2022,"AMAZON.COM*HZ5IC5983 AM 08/17 PURCHASE AMZN.COM/BILL WA","-45.20","6,649.00"
08/18/2022,"DISCOVER DES:E-PAYMENT ID:1502 INDN:NGUYEN KHANH CO ID:XXXXX20270 WEB","-420.53","6,228.47"
08/19/2022,"SNACKPASS 08/18 PURCHASE WWW.SNACKPASS CA","-5.16","6,223.31"
08/24/2022,"AMAZON.COM AMZN.COM/BIL 08/23 REFUND AMZN.COM/BILL WA","45.20","6,268.51"
08/24/2022,"AMZN MKTP US*IH1YW9613 08/22 PURCHASE AMZN.COM/BILL WA","-7.71","6,260.80"
08/24/2022,"AMZN MKTP US*7964V3XL3 08/22 PURCHASE AMZN.COM/BILL WA","-18.73","6,242.07"
08/26/2022,"Zelle Transfer Conf# 999fi5414; QUANG H VO","37.97","6,280.04"
08/26/2022,"MCDONALD'S 4372 08/25 PURCHASE BERKELEY CA","-10.79","6,269.25"
08/26/2022,"MCDONALD'S 4372 08/25 PURCHASE BERKELEY CA","-4.07","6,265.18"
08/26/2022,"TRADER JOE'S # 08/25 PURCHASE BERKELEY CA","-75.94","6,189.24"
08/29/2022,"CODIO LTD. 08/26 PURCHASE LONDON","-30.00","6,159.24"
08/29/2022,"AMZN MKTP US*2L95D94W3 08/27 PURCHASE AMZN.COM/BILL WA","-13.22","6,146.02"
08/29/2022,"SQ *BOBA GUYS ROCKRIDGE 08/27 PURCHASE Oakland CA","-6.20","6,139.82"
08/29/2022,"SQ *BEAUTY TEK 08/28 PURCHASE BERKELEY CA","-32.20","6,107.62"
08/29/2022,"INTERNATIONAL TRANSACTION FEE 08/26 CODIO LTD. LONDON","-0.90","6,106.72"
08/30/2022,"AMZN MKTP US AMZN.COM/B 08/30 REFUND AMZN.COM/BILL WA","13.22","6,119.94"
08/30/2022,"Zelle Transfer Conf# j5e8ggi7m; William","-26.00","6,093.94"
09/02/2022,"Zelle Transfer Conf# kv3ga9xf1; Vincent","-69.21","6,024.73"
09/06/2022,"Zelle Transfer Conf# gjngklcjy; William","-32.50","5,992.23"
09/06/2022,"Zelle Transfer Conf# l8drdlsv2; Quang Vo","-8.81","5,983.42"
09/07/2022,"SNACK* SWEETHEART 09/06 PURCHASE WWW.SNACKPASS CA","-20.72","5,962.70"
09/12/2022,"GIG CAR SHARE 09/11 PURCHASE HTTPSWWW.GIGC CA","-13.91","5,948.79"
09/12/2022,"DISCOVER DES:E-PAYMENT ID:1502 INDN:NGUYEN KHANH CO ID:XXXXX20270 WEB","-839.46","5,109.33"
09/16/2022,"Zelle Transfer Conf# 999gb3e7k; QUANG H VO","5.00","5,114.33"
09/16/2022,"UNIV CALIFORNIA BERKEL 09/14 PURCHASE XXX-XX98131 CA","-0.28","5,114.05"
09/16/2022,"UNIV CALIFORNIA BERKEL 09/14 PURCHASE XXX-XX98131 CA","-10.00","5,104.05"
09/19/2022,"Zelle Transfer Conf# dcs946du9; NGUYEN, MY","500.00","5,604.05"
09/19/2022,"SNACK* UCHA BERKEL 09/18 PURCHASE WWW.SNACKPASS CA","-13.97","5,590.08"
09/19/2022,"Zelle Transfer Conf# ag5kbu9a1; Vincent","-58.00","5,532.08"
